AAA	OnAir Switzerland Sarl	ONAIR	OnAir1	OnAir	1800 (GSM)	901	15		8988298	2014-12-02
AAM	Maritime Communications Partner AS	Maritime Communications Partner AS	Maritime Communications Partner AS	MCP	1800 (GSM)	901	12		8988232	2014-11-20
ABW	New Millennium Telecom Services NV	Digicel	DIGICEL	DIGICEL	1800 (GSM)	363	20	2	8929702	2014-10-03
ABW	New Millennium Telecom Services NV	Digicel	DIGICEL	DIGICEL	900 (GSM)	363	20	2	8929702	2014-10-03
ABW	Servicio di Telecomunicacion di Aruba	SETAR GSM	SETAR	SETAR	2100 (3G)	363	012		8929786	2014-10-31
ABW	Servicio di Telecomunicacion di Aruba	SETAR GSM	SETAR	SETAR	1800 (GSM)	363	01		8929786	2014-10-31
ABW	Servicio di Telecomunicacion di Aruba	SETAR GSM	SETAR	SETAR	1800 (LTE)	363	01		8929786	2014-10-31
ABW	Servicio di Telecomunicacion di Aruba	SETAR GSM	SETAR	SETAR	1900 (GSM)	363	01		8929786	2014-10-31
ABW	Servicio di Telecomunicacion di Aruba	SETAR GSM	SETAR	SETAR	900 (GSM)	363	01		8929786	2014-10-31
AFG	Afghan Wireless Communication Company	AWCC	AF AWCC	AWCC	900 (GSM)	412	01	"0,1"	899301	2012-02-09
AFG	Afghan Wireless Communication Company	AWCC	AF AWCC	AWCC	1800 (GSM)	412	01	"0,1"	899301	2012-02-09
AFG	Etisalat Afghanistan	Etisalat Afghanistan	Etisalat Af	Etisalat	1800 (GSM)	412	50	7	8993501	2007-03-22
AFG	Etisalat Afghanistan	Etisalat Afghanistan	Etisalat Af	Etisalat	900 (GSM)	412	50	7	8993501	2007-03-22
AFG	MTN Afghanistan	MTN Afghanistan	MTN AF	MTN	1800 (GSM)	412	40	"4,5"	899340	2012-02-01
AFG	MTN Afghanistan	MTN Afghanistan	MTN AF	MTN	900 (GSM)	412	40	"4,5"	899340	2012-02-01
AFG	Telecom Development Company Afghanistan Ltd.	ROSHAN	ROSHAN	ROSHAN	900 (GSM)	412	20	"2,3"	899379	2011-10-20
AGO	Unitel S.A.	UNITEL	UNITEL	UNITEL	900 (GSM)	631	02	7	8924402	2014-07-28
AGO	Unitel S.A.	UNITEL	UNITEL	UNITEL	1800 (LTE)	631	02		8924402	2014-07-28
AGO	Unitel S.A.	UNITEL	UNITEL	UNITEL	1800 (GSM)	631	02	7	8924402	2014-07-28
AGO	Unitel S.A.	UNITEL	UNITEL	UNITEL	2100 (3G)	631	02		8924402	2014-07-28
AIA	Cable & Wireless (Anguilla) Ltd	LIME	LIME	LIME	850 (GSM)	365	840		8901010	2012-05-18
ALB	ALBtelecom sh.a.	Eagle Mobile	EAGLE AL	EAGLE AL	1800 (GSM)	276	03	"0,7"	8935503	2014-07-02
ALB	ALBtelecom sh.a.	Eagle Mobile	EAGLE AL	EAGLE AL	2100 (3G)	276	03		8935503	2014-07-02
ALB	ALBtelecom sh.a.	Eagle Mobile	EAGLE AL	EAGLE AL	900 (GSM)	276	03	"0,7"	8935503	2014-07-02
ALB	Albanian Mobile Communications sh.a	A M C MOBIL	A M C	A M C	1800 (GSM)	276	01	1	8935501	2014-11-18
ALB	Albanian Mobile Communications sh.a	A M C MOBIL	A M C	A M C	900 (GSM)	276	01	1	8935501	2014-11-18
ALB	PLUS COMMUNICATION	PLUS	PLUS AL	PLUS AL	1800 (GSM)	276	04		8935504	2012-03-02
ALB	PLUS COMMUNICATION	PLUS	PLUS AL	PLUS AL	900 (GSM)	276	04		8935504	2012-03-02
ALB	Vodafone Albania	Vodafone	Vodafone AL	Voda AL	1800 (GSM)	276	02	"0,5"	8935502	2012-03-05
ALB	Vodafone Albania	Vodafone	Vodafone AL	Voda AL	900 (GSM)	276	02	"0,5"	8935502	2012-03-05
AND	Servei De Telecomunicacions dAndorra	ANDORRA TELECOM	MOBILAND	M-AND	900 (GSM)	213	03		8937603	2014-09-30
AND	Servei De Telecomunicacions dAndorra	ANDORRA TELECOM	MOBILAND	M-AND	2100 (3G)	213	03		8937603	2014-09-30
AND	Servei De Telecomunicacions dAndorra	ANDORRA TELECOM	MOBILAND	M-AND	1800 (GSM)	213	03		8937603	2014-09-30
ANT	Cura?ao Telecom N.V.	Digicel Curacao	Digicel	Digicel	900 (GSM)	362	69	6	8959996	2014-05-21
