Country Initials	Organisation	Network	PPCI&N	Abrev. Net. Name	Net. Type	MCC	MNC	SIM	"Last Update				"
AAA	AeroMobile AS	AeroMobile	AeroMobile	AeroMob	GSM 1800	901	14	8988299	"2015-06-23				"
AAA	OnAir Switzerland Sarl	ONAIR	OnAir	OnAir	GSM 1800	901	15	8988298	"2014-12-02				"
AAM	Maritime Communications Partner AS	Maritime Communications Partner AS	Maritime Communications Partner AS	MCP	GSM 1800	901	12	8988232	"2015-06-03				"
AAQ	Inmarsat Plc	Inmarsat	Inmarsat	INX	GSM Satellite	901	11	8987099	"2013-03-12				"
ABW	New Millennium Telecom Services NV	Digicel	AW Digicel	Digicel	GSM 1800	363	20	8929702	"2015-04-28				"
ABW	New Millennium Telecom Services NV	Digicel	AW Digicel	Digicel	GSM 900	363	20	8929702	"2015-04-28				"
ABW	Servicio di Telecomunicacion di Aruba	SETAR GSM	SETAR	SETAR	LTE 1800	363	01	8929786	"2015-06-09				"
ABW	Servicio di Telecomunicacion di Aruba	SETAR GSM	SETAR	SETAR	3G 2100	363	01	8929786	"2015-06-09				"
ABW	Servicio di Telecomunicacion di Aruba	SETAR GSM	SETAR	SETAR	GSM 1800	363	01	8929786	"2015-06-09				"
ABW	Servicio di Telecomunicacion di Aruba	SETAR GSM	SETAR	SETAR	GSM 900	363	01	8929786	"2015-06-09				"
AFG	Afghan Wireless Communication Company 	AWCC	AF AWCC	AWCC	GSM 1800	412	01	899301	"2012-02-09				"
AFG	Afghan Wireless Communication Company 	AWCC	AF AWCC	AWCC	GSM 900	412	01	899301	"2012-02-09				"
AFG	Emirates Telecommunications Corporation (ETISALAT)	Etisalat Afghanistan	Etisalat Af	Etisalat	GSM 1800	412	50	8993501	"2007-03-22				"
AFG	Emirates Telecommunications Corporation (ETISALAT)	Etisalat Afghanistan	Etisalat Af	Etisalat	GSM 900	412	50	8993501	"2007-03-22				"
AFG	MTN Afghanistan	MTN Afghanistan	MTN AF	MTN	GSM 900	412	40	899340	"2012-02-01				"
AFG	MTN Afghanistan	MTN Afghanistan	MTN AF	MTN	GSM 1800	412	40	899340	"2012-02-01				"
AFG	Telecom Development Company Afghanistan Limited	ROSHAN	ROSHAN	ROSHAN	GSM 900	412	20	899379	"2011-10-20				"
AGO	"Movicel - Telecomunicações	S.A. "	MOVICEL	MOVICEL	AGOMV 	GSM 900	631	04	8924404	"2015-05-05			"
AGO	"Movicel - Telecomunicações	 S.A. "	MOVICEL	MOVICEL	AGOMV 	3G 900	631	04	8924404	"2015-05-05			"
AGO	"Movicel - Telecomunicações	 S.A. "	MOVICEL	MOVICEL	AGOMV 	LTE 1800	631	04	8924404	"2015-05-05			"
AGO	"Movicel - Telecomunicações	 S.A. "	MOVICEL	MOVICEL	AGOMV 	GSM 1800	631	04	8924404	"2015-05-05			"
AGO	Unitel S.A.	UNITEL	UNITEL	UNITEL	GSM 900	631	02	8924402	"2014-07-28				"
AGO	Unitel S.A.	UNITEL	UNITEL	UNITEL	GSM 1800	631	02	8924402	"2014-07-28				"
AGO	Unitel S.A.	UNITEL	UNITEL	UNITEL	3G 2100	631	02	8924402	"2014-07-28				"
AGO	Unitel S.A.	UNITEL	UNITEL	UNITEL	LTE 1800	631	02	8924402	"2014-07-28				"
AIA	Cable and Wireless (Anguilla) Ltd	LIME	LIME	LIME	GSM 850	365	840	8901010	"2012-05-18				"
ALB	ALBtelecom sh.a.	Eagle Mobile	EAGLE AL	EAGLE AL	LTE 1800	276	03	8935503	"2015-04-28				"
ALB	ALBtelecom sh.a.	Eagle Mobile	EAGLE AL	EAGLE AL	GSM 1800	276	03	8935503	"2015-04-28				"
ALB	ALBtelecom sh.a.	Eagle Mobile	EAGLE AL	EAGLE AL	3G 2100	276	03	8935503	"2015-04-28				"
ALB	ALBtelecom sh.a.	Eagle Mobile	EAGLE AL	EAGLE AL	GSM 900	276	03	8935503	"2015-04-28				"
ALB	Albanian Mobile Communications sh.a	A M C MOBIL	A M C	A M C	GSM 900	276	01	8935501	"2014-11-18				"
ALB	Albanian Mobile Communications sh.a	A M C MOBIL	A M C	A M C	GSM 1800	276	01	8935501	"2014-11-18				"
ALB	Plus Communication sh.a	PLUS	PLUS AL	PLUS AL	GSM 900	276	04	8935504	"2012-03-02				"
ALB	Plus Communication sh.a	PLUS	PLUS AL	PLUS AL	GSM 1800	276	04	8935504	"2012-03-02				"
ALB	Vodafone - Albania	Vodafone Albania	ALB	Voda AL	GSM 900	276	02	8935502	"2015-06-09				"
ALB	Vodafone - Albania	Vodafone Albania	ALB	Voda AL	GSM 1800	276	02	8935502	"2015-06-09				"
AND	Servei De Telecomunicacions dAndorra	ANDORRA TELECOM	ANDORRA-MOBILAND	M-AND	3G 2100	213	03	8937603	"2015-05-05				"
AND	Servei De Telecomunicacions dAndorra	ANDORRA TELECOM	ANDORRA-MOBILAND	M-AND	LTE 1800	213	03	8937603	"2015-05-05				"
